,Flname,FnName,Art,Max,Unq,Len,OT,pred
77,7_1_3_constant_long_0_enca.prob3,__libc_csu_init,122.31733991200001,7.17400789981,15,34,0,norm
78,7_1_3_constant_long_0_enca.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,norm
79,RF-default_jmp.prob3,_start,43.120383114300004,4.37618793455,7,12,0,norm
80,RF-default_jmp.prob3,deregister_tm_clones,57.7995731395,5.3352486813199995,10,14,0,norm
81,RF-default_jmp.prob3,register_tm_clones,83.9259915948,7.504722643969999,11,18,1,norm
82,RF-default_jmp.prob3,__do_global_dtors_aux,42.7050707954,8.454571487639999,7,8,2,norm
83,RF-default_jmp.prob3,frame_dummy,52.870806292,8.027430968200001,9,12,1,norm
84,RF-default_jmp.prob3,_NONAME1,1409.35060083,40.0,16,103,35,norm
85,RF-default_jmp.prob3,SECRET_1,787.140394512,10.9506955038,16,210,3,norm
86,RF-default_jmp.prob3,__libc_csu_init,122.31733991200001,7.17400789981,15,34,0,norm
87,RF-default_jmp.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,norm
88,2_1_1_constant_char_2.prob3,_start,43.120383114300004,4.37618793455,7,12,0,norm
89,2_1_1_constant_char_2.prob3,deregister_tm_clones,57.7995731395,5.3352486813199995,10,14,0,norm
90,2_1_1_constant_char_2.prob3,register_tm_clones,83.9259915948,7.504722643969999,11,18,1,norm
91,2_1_1_constant_char_2.prob3,__do_global_dtors_aux,42.7050707954,8.454571487639999,7,8,2,norm
92,2_1_1_constant_char_2.prob3,frame_dummy,52.870806292,8.027430968200001,9,12,1,norm
93,2_1_1_constant_char_2.prob3,main,195.27900203099998,9.277623847100001,16,59,2,norm
94,2_1_1_constant_char_2.prob3,function_1,1255.8373577,40.0,22,267,6,norm
95,2_1_1_constant_char_2.prob3,__libc_csu_init,122.31733991200001,7.17400789981,15,34,0,norm
96,2_1_1_constant_char_2.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,norm
97,RF-default_encl.prob3,_start,43.120383114300004,4.37618793455,7,12,0,norm
98,RF-default_encl.prob3,deregister_tm_clones,57.7995731395,5.3352486813199995,10,14,0,norm
99,RF-default_encl.prob3,register_tm_clones,83.9259915948,7.504722643969999,11,18,1,norm
100,RF-default_encl.prob3,__do_global_dtors_aux,42.7050707954,8.454571487639999,7,8,2,norm
101,RF-default_encl.prob3,frame_dummy,52.870806292,8.027430968200001,9,12,1,norm
102,RF-default_encl.prob3,SECRET_1,795.811502769,10.9506955038,17,211,3,norm
103,RF-default_encl.prob3,_1_stringEncoder,911.8242586480001,8.175571680900001,12,260,1,norm
104,RF-default_encl.prob3,megaInit,25.142789193800002,6.116760716919999,5,6,0,norm
105,RF-default_encl.prob3,encodeStrings_litStr0_i$nit,16.1487824756,6.71292734044,4,4,0,norm
106,RF-default_encl.prob3,encodeStrings_litStr1_i$nit,16.1487824756,6.71292734044,4,4,0,norm
107,RF-default_encl.prob3,main,185.740134123,8.51844596613,13,71,1,norm
108,RF-default_encl.prob3,__libc_csu_init,122.31733991200001,7.17400789981,15,34,0,norm
109,RF-default_encl.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,norm
110,test_aaa.prob3,_start,43.120383114300004,4.37618793455,7,12,0,norm
111,test_aaa.prob3,deregister_tm_clones,57.7995731395,5.3352486813199995,10,14,0,norm
112,test_aaa.prob3,register_tm_clones,83.9259915948,7.504722643969999,11,18,1,norm
113,test_aaa.prob3,__do_global_dtors_aux,42.7050707954,8.454571487639999,7,8,2,norm
114,test_aaa.prob3,frame_dummy,52.870806292,8.027430968200001,9,12,1,norm
115,test_aaa.prob3,main,1372.72386081,9.66291785791,18,460,2,norm
116,test_aaa.prob3,failed,89.4547035623,8.69519979167,11,20,1,norm
117,test_aaa.prob3,succeeded,81.4963360341,6.4254274125199995,10,24,0,norm
118,test_aaa.prob3,megaInit,16.1487824756,6.71292734044,4,4,0,norm
119,test_aaa.prob3,__libc_csu_init,122.31733991200001,7.17400789981,15,34,0,norm
120,test_aaa.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,norm
121,1_1_0_constant_short_3_jmp.prob3,_start,43.120383114300004,4.37618793455,7,12,0,norm
122,1_1_0_constant_short_3_jmp.prob3,deregister_tm_clones,57.7995731395,5.3352486813199995,10,14,0,norm
123,1_1_0_constant_short_3_jmp.prob3,register_tm_clones,83.9259915948,7.504722643969999,11,18,1,norm
124,1_1_0_constant_short_3_jmp.prob3,__do_global_dtors_aux,42.7050707954,8.454571487639999,7,8,2,norm
125,1_1_0_constant_short_3_jmp.prob3,frame_dummy,52.870806292,8.027430968200001,9,12,1,norm
126,1_1_0_constant_short_3_jmp.prob3,_NONAME1,3741.82859828,40.0,27,494,59,obfs
127,1_1_0_constant_short_3_jmp.prob3,__libc_csu_init,122.31733991200001,7.17400789981,15,34,0,norm
128,1_1_0_constant_short_3_jmp.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,norm
129,chklic_891022408_aaa.prob3,_start,43.120383114300004,4.37618793455,7,12,0,norm
130,chklic_891022408_aaa.prob3,deregister_tm_clones,57.7995731395,5.3352486813199995,10,14,0,norm
131,chklic_891022408_aaa.prob3,register_tm_clones,83.9259915948,7.504722643969999,11,18,1,norm
132,chklic_891022408_aaa.prob3,__do_global_dtors_aux,42.7050707954,8.454571487639999,7,8,2,norm
133,chklic_891022408_aaa.prob3,frame_dummy,52.870806292,8.027430968200001,9,12,1,norm
134,chklic_891022408_aaa.prob3,renewlicense,117.514487567,6.4254274125199995,14,32,0,norm
135,chklic_891022408_aaa.prob3,failed,87.1135830157,6.4254274125199995,10,28,0,norm
136,chklic_891022408_aaa.prob3,checklicense,690.315403439,9.66291785791,19,190,4,norm
137,chklic_891022408_aaa.prob3,main,240.054613123,5.28333779158,12,122,0,norm
138,chklic_891022408_aaa.prob3,EXPIRE_TIME_i$nit,27.2273452066,3.55159191602,4,15,0,norm
139,chklic_891022408_aaa.prob3,megaInit,25.142789193800002,6.116760716919999,5,6,0,norm
140,chklic_891022408_aaa.prob3,ACTIVATION_CODE_i$nit,16.0986060525,3.55159191602,4,5,0,norm
141,chklic_891022408_aaa.prob3,__libc_csu_init,122.31733991200001,7.17400789981,15,34,0,norm
142,chklic_891022408_aaa.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,norm
143,2_1_1_constant_char_2_jmp.prob3,_start,43.120383114300004,4.37618793455,7,12,0,norm
144,2_1_1_constant_char_2_jmp.prob3,deregister_tm_clones,57.7995731395,5.3352486813199995,10,14,0,norm
145,2_1_1_constant_char_2_jmp.prob3,register_tm_clones,83.9259915948,7.504722643969999,11,18,1,norm
146,2_1_1_constant_char_2_jmp.prob3,__do_global_dtors_aux,42.7050707954,8.454571487639999,7,8,2,norm
147,2_1_1_constant_char_2_jmp.prob3,frame_dummy,52.870806292,8.027430968200001,9,12,1,norm
148,2_1_1_constant_char_2_jmp.prob3,_NONAME1,3724.80685038,40.0,27,337,75,obfs
149,2_1_1_constant_char_2_jmp.prob3,__libc_csu_init,122.31733991200001,7.17400789981,15,34,0,norm
150,2_1_1_constant_char_2_jmp.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,norm
151,test_enca.prob3,_start,43.120383114300004,4.37618793455,7,12,0,norm
152,test_enca.prob3,deregister_tm_clones,57.7995731395,5.3352486813199995,10,14,0,norm
153,test_enca.prob3,register_tm_clones,83.9259915948,7.504722643969999,11,18,1,norm
154,test_enca.prob3,__do_global_dtors_aux,42.7050707954,8.454571487639999,7,8,2,norm
155,test_enca.prob3,frame_dummy,52.870806292,8.027430968200001,9,12,1,norm
156,test_enca.prob3,failed,26.480878819,6.2811052390799995,6,7,0,norm
157,test_enca.prob3,main,393.796753282,9.55432852263,19,119,3,norm
158,test_enca.prob3,megaInit,16.1487824756,6.71292734044,4,4,0,norm
159,test_enca.prob3,succeeded,26.480878819,6.2811052390799995,6,7,0,norm
160,test_enca.prob3,__libc_csu_init,122.31733991200001,7.17400789981,15,34,0,norm
161,test_enca.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,norm
162,test_flat.prob3,_start,43.120383114300004,4.37618793455,7,12,0,norm
163,test_flat.prob3,deregister_tm_clones,57.7995731395,5.3352486813199995,10,14,0,norm
164,test_flat.prob3,register_tm_clones,83.9259915948,7.504722643969999,11,18,1,norm
165,test_flat.prob3,__do_global_dtors_aux,42.7050707954,8.454571487639999,7,8,2,norm
166,test_flat.prob3,frame_dummy,52.870806292,8.027430968200001,9,12,1,norm
167,test_flat.prob3,succeeded,58.9276460083,6.01453814696,12,17,0,norm
168,test_flat.prob3,failed,63.3747192799,6.01453814696,11,18,0,norm
169,test_flat.prob3,megaInit,16.1487824756,6.71292734044,4,4,0,norm
170,test_flat.prob3,main,308.12444893,7.378112199380001,14,119,0,norm
171,test_flat.prob3,__libc_csu_init,122.31733991200001,7.17400789981,15,34,0,norm
172,test_flat.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,norm
173,test_addop.prob3,_start,43.120383114300004,4.37618793455,7,12,0,norm
174,test_addop.prob3,deregister_tm_clones,57.7995731395,5.3352486813199995,10,14,0,norm
175,test_addop.prob3,register_tm_clones,83.9259915948,7.504722643969999,11,18,1,norm
176,test_addop.prob3,__do_global_dtors_aux,42.7050707954,8.454571487639999,7,8,2,norm
177,test_addop.prob3,frame_dummy,52.870806292,8.027430968200001,9,12,1,norm
178,test_addop.prob3,megaInit,16.1487824756,6.71292734044,4,4,0,norm
179,test_addop.prob3,_NONAME1,1063.78045553,40.0,19,400,6,norm
180,test_addop.prob3,succeeded,26.480878819,6.2811052390799995,6,7,0,norm
181,test_addop.prob3,failed,26.480878819,6.2811052390799995,6,7,0,norm
182,test_addop.prob3,__libc_csu_init,122.31733991200001,7.17400789981,15,34,0,norm
183,test_addop.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,norm
184,RF-default_vir.prob3,_start,43.120383114300004,4.37618793455,7,12,0,norm
185,RF-default_vir.prob3,deregister_tm_clones,57.7995731395,5.3352486813199995,10,14,0,norm
186,RF-default_vir.prob3,register_tm_clones,83.9259915948,7.504722643969999,11,18,1,norm
187,RF-default_vir.prob3,__do_global_dtors_aux,42.7050707954,8.454571487639999,7,8,2,norm
188,RF-default_vir.prob3,frame_dummy,52.870806292,8.027430968200001,9,12,1,norm
189,RF-default_vir.prob3,SECRET_1,1524.59053703,7.378112199380001,22,543,0,norm
190,RF-default_vir.prob3,main,1352.51102522,6.93028463959,20,482,0,norm
191,RF-default_vir.prob3,megaInit,16.1487824756,6.71292734044,4,4,0,norm
192,RF-default_vir.prob3,__libc_csu_init,122.31733991200001,7.17400789981,15,34,0,norm
193,RF-default_vir.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,norm
194,1_1_0_constant_short_3_addop.prob3,_start,43.120383114300004,4.37618793455,7,12,0,norm
195,1_1_0_constant_short_3_addop.prob3,deregister_tm_clones,57.7995731395,5.3352486813199995,10,14,0,norm
196,1_1_0_constant_short_3_addop.prob3,register_tm_clones,83.9259915948,7.504722643969999,11,18,1,norm
197,1_1_0_constant_short_3_addop.prob3,__do_global_dtors_aux,42.7050707954,8.454571487639999,7,8,2,norm
198,1_1_0_constant_short_3_addop.prob3,frame_dummy,52.870806292,8.027430968200001,9,12,1,norm
199,1_1_0_constant_short_3_addop.prob3,main,354.03062884599996,8.51844596613,16,157,1,obfs
200,1_1_0_constant_short_3_addop.prob3,_NONAME1,3800.46947535,40.0,26,967,19,norm
201,1_1_0_constant_short_3_addop.prob3,megaInit,16.1487824756,6.71292734044,4,4,0,norm
202,1_1_0_constant_short_3_addop.prob3,__libc_csu_init,122.31733991200001,7.17400789981,15,34,0,norm
203,1_1_0_constant_short_3_addop.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,norm
204,1_1_0_constant_short_3_vir.prob3,_start,43.120383114300004,4.37618793455,7,12,0,norm
205,1_1_0_constant_short_3_vir.prob3,deregister_tm_clones,57.7995731395,5.3352486813199995,10,14,0,norm
206,1_1_0_constant_short_3_vir.prob3,register_tm_clones,83.9259915948,7.504722643969999,11,18,1,norm
207,1_1_0_constant_short_3_vir.prob3,__do_global_dtors_aux,42.7050707954,8.454571487639999,7,8,2,norm
208,1_1_0_constant_short_3_vir.prob3,frame_dummy,52.870806292,8.027430968200001,9,12,1,norm
209,1_1_0_constant_short_3_vir.prob3,function_1,2636.08480176,7.756138394530001,29,932,1,obfs
210,1_1_0_constant_short_3_vir.prob3,megaInit,16.1487824756,6.71292734044,4,4,0,norm
211,1_1_0_constant_short_3_vir.prob3,main,1467.64366671,6.93028463959,21,515,0,obfs
212,1_1_0_constant_short_3_vir.prob3,__libc_csu_init,122.31733991200001,7.17400789981,15,34,0,norm
213,1_1_0_constant_short_3_vir.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,norm
214,1_1_0_constant_short_3.prob3,_start,43.120383114300004,4.37618793455,7,12,0,norm
215,1_1_0_constant_short_3.prob3,deregister_tm_clones,57.7995731395,5.3352486813199995,10,14,0,norm
216,1_1_0_constant_short_3.prob3,register_tm_clones,83.9259915948,7.504722643969999,11,18,1,norm
217,1_1_0_constant_short_3.prob3,__do_global_dtors_aux,42.7050707954,8.454571487639999,7,8,2,norm
218,1_1_0_constant_short_3.prob3,frame_dummy,52.870806292,8.027430968200001,9,12,1,norm
219,1_1_0_constant_short_3.prob3,function_1,1826.36559537,40.0,22,402,8,norm
220,1_1_0_constant_short_3.prob3,main,195.065904621,9.277623847100001,15,59,2,norm
221,1_1_0_constant_short_3.prob3,__libc_csu_init,122.31733991200001,7.17400789981,15,34,0,norm
222,1_1_0_constant_short_3.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,norm
223,2_1_1_constant_char_2_vir.prob3,_start,43.120383114300004,4.37618793455,7,12,0,norm
224,2_1_1_constant_char_2_vir.prob3,deregister_tm_clones,57.7995731395,5.3352486813199995,10,14,0,norm
225,2_1_1_constant_char_2_vir.prob3,register_tm_clones,83.9259915948,7.504722643969999,11,18,1,norm
226,2_1_1_constant_char_2_vir.prob3,__do_global_dtors_aux,42.7050707954,8.454571487639999,7,8,2,norm
227,2_1_1_constant_char_2_vir.prob3,frame_dummy,52.870806292,8.027430968200001,9,12,1,norm
228,2_1_1_constant_char_2_vir.prob3,main,1466.3059642,6.93028463959,21,515,0,obfs
229,2_1_1_constant_char_2_vir.prob3,function_1,2370.51058448,7.756138394530001,27,834,1,obfs
230,2_1_1_constant_char_2_vir.prob3,megaInit,16.1487824756,6.71292734044,4,4,0,norm
231,2_1_1_constant_char_2_vir.prob3,__libc_csu_init,122.31733991200001,7.17400789981,15,34,0,norm
232,2_1_1_constant_char_2_vir.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,norm
233,1_1_0_constant_short_3_enca.prob3,_start,43.120383114300004,4.37618793455,7,12,0,norm
234,1_1_0_constant_short_3_enca.prob3,deregister_tm_clones,57.7995731395,5.3352486813199995,10,14,0,norm
235,1_1_0_constant_short_3_enca.prob3,register_tm_clones,83.9259915948,7.504722643969999,11,18,1,norm
236,1_1_0_constant_short_3_enca.prob3,__do_global_dtors_aux,42.7050707954,8.454571487639999,7,8,2,norm
237,1_1_0_constant_short_3_enca.prob3,frame_dummy,52.870806292,8.027430968200001,9,12,1,norm
238,1_1_0_constant_short_3_enca.prob3,function_1,21953.927879099996,9.6603932222,27,4078,194,obfs
239,1_1_0_constant_short_3_enca.prob3,megaInit,16.1487824756,6.71292734044,4,4,0,norm
240,1_1_0_constant_short_3_enca.prob3,main,501.400710282,8.702087417769999,18,139,1,obfs
241,1_1_0_constant_short_3_enca.prob3,__libc_csu_init,122.31733991200001,7.17400789981,15,34,0,norm
242,1_1_0_constant_short_3_enca.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,norm
243,1_1_0_constant_short_3_flat.prob3,_start,43.120383114300004,4.37618793455,7,12,0,norm
244,1_1_0_constant_short_3_flat.prob3,deregister_tm_clones,57.7995731395,5.3352486813199995,10,14,0,norm
245,1_1_0_constant_short_3_flat.prob3,register_tm_clones,83.9259915948,7.504722643969999,11,18,1,norm
246,1_1_0_constant_short_3_flat.prob3,__do_global_dtors_aux,42.7050707954,8.454571487639999,7,8,2,norm
247,1_1_0_constant_short_3_flat.prob3,frame_dummy,52.870806292,8.027430968200001,9,12,1,norm
248,1_1_0_constant_short_3_flat.prob3,megaInit,16.1487824756,6.71292734044,4,4,0,norm
249,1_1_0_constant_short_3_flat.prob3,main,323.965790763,7.378112199380001,18,109,0,obfs
250,1_1_0_constant_short_3_flat.prob3,function_1,1814.60490641,7.91883377594,25,432,5,norm
251,1_1_0_constant_short_3_flat.prob3,__libc_csu_init,122.31733991200001,7.17400789981,15,34,0,norm
252,1_1_0_constant_short_3_flat.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,norm
253,test.prob3,_start,43.120383114300004,4.37618793455,7,12,0,norm
254,test.prob3,deregister_tm_clones,57.7995731395,5.3352486813199995,10,14,0,norm
255,test.prob3,register_tm_clones,83.9259915948,7.504722643969999,11,18,1,norm
256,test.prob3,__do_global_dtors_aux,42.7050707954,8.454571487639999,7,8,2,norm
257,test.prob3,frame_dummy,52.870806292,8.027430968200001,9,12,1,norm
258,test.prob3,succeeded,20.8443534477,6.057313729500001,5,6,0,norm
259,test.prob3,failed,20.8443534477,6.057313729500001,5,6,0,norm
260,test.prob3,main,167.482742675,4.5905539295699995,10,72,0,norm
261,test.prob3,__libc_csu_init,122.31733991200001,7.17400789981,15,34,0,norm
262,test.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,norm
263,chklic_891022408_encl.prob3,_start,43.120383114300004,4.37618793455,7,12,0,norm
264,chklic_891022408_encl.prob3,deregister_tm_clones,57.7995731395,5.3352486813199995,10,14,0,norm
265,chklic_891022408_encl.prob3,register_tm_clones,83.9259915948,7.504722643969999,11,18,1,norm
266,chklic_891022408_encl.prob3,__do_global_dtors_aux,42.7050707954,8.454571487639999,7,8,2,norm
267,chklic_891022408_encl.prob3,frame_dummy,52.870806292,8.027430968200001,9,12,1,norm
268,chklic_891022408_encl.prob3,megaInit,43.589456035299996,6.116760716919999,5,10,0,norm
269,chklic_891022408_encl.prob3,checklicense,125.128740259,5.294652719559999,11,51,0,norm
270,chklic_891022408_encl.prob3,_1_stringEncoder,1965.60614226,8.175571680900001,12,558,1,norm
271,chklic_891022408_encl.prob3,ACTIVATION_CODE_i$nit,16.0986060525,3.55159191602,4,5,0,norm
272,chklic_891022408_encl.prob3,renewlicense,32.4108799632,6.2811052390799995,6,11,0,norm
273,chklic_891022408_encl.prob3,encodeStrings_litStr2_i$nit,16.1487824756,6.71292734044,4,4,0,norm
274,chklic_891022408_encl.prob3,main,38.0700241283,3.9190129365900006,6,19,0,norm
275,chklic_891022408_encl.prob3,encodeStrings_litStr3_i$nit,16.1487824756,6.71292734044,4,4,0,norm
276,chklic_891022408_encl.prob3,encodeStrings_litStr1_i$nit,16.1487824756,6.71292734044,4,4,0,norm
277,chklic_891022408_encl.prob3,failed,32.4108799632,6.2811052390799995,6,11,0,norm
278,chklic_891022408_encl.prob3,EXPIRE_TIME_i$nit,27.2273452066,3.55159191602,4,15,0,norm
279,chklic_891022408_encl.prob3,encodeStrings_litStr0_i$nit,16.1487824756,6.71292734044,4,4,0,norm
280,chklic_891022408_encl.prob3,__libc_csu_init,122.31733991200001,7.17400789981,15,34,0,norm
281,chklic_891022408_encl.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,norm
282,7_1_3_constant_long_0_addop.prob3,_start,43.120383114300004,4.37618793455,7,12,0,norm
283,7_1_3_constant_long_0_addop.prob3,deregister_tm_clones,57.7995731395,5.3352486813199995,10,14,0,norm
